time,motor,target_rad_s,speed_rad_s,wheel_speed_rad_s,commanded_torque_nm,closure_error_m,fold_1_rad,body_x_m,body_y_m
0.010000000000000002,p0_m0,0.0,3.760443521853997e-11,3.740180176681209e-11,-1.1581707324771502e-13,4.700438272411801e-14,0.5500000000004558,4.0823180206968064e-14,-9.507606475101002e-15
0.010000000000000002,p0_m1,0.0,2.1189942465413444e-10,2.2233757623890682e-10,-7.21915884729131e-13,4.700438272411801e-14,0.5500000000004558,4.0823180206968064e-14,-9.507606475101002e-15
0.010000000000000002,p0_m2,0.0,-1.9459443783261467e-12,-1.1893466628221107e-11,5.632933940657967e-15,4.700438272411801e-14,0.5500000000004558,4.0823180206968064e-14,-9.507606475101002e-15
0.010000000000000002,p0_m3,0.0,1.347820657013098e-12,8.373240878434271e-12,-3.83909943470951e-15,4.700438272411801e-14,0.5500000000004558,4.0823180206968064e-14,-9.507606475101002e-15
0.010000000000000002,p1_m0,0.0,3.843993533295323e-11,4.6354928562308826e-11,-1.1979316555621706e-13,4.700438272411801e-14,0.5500000000004558,4.0823180206968064e-14,-9.507606475101002e-15
0.010000000000000002,p1_m1,0.0,-2.0123810015698266e-12,-1.2125863646517136e-11,5.907616612020172e-15,4.700438272411801e-14,0.5500000000004558,4.0823180206968064e-14,-9.507606475101002e-15
0.010000000000000002,p1_m2,0.0,-2.104918043559381e-10,-2.0740793657547685e-10,7.152398413126376e-13,4.700438272411801e-14,0.5500000000004558,4.0823180206968064e-14,-9.507606475101002e-15
0.010000000000000002,p1_m3,0.0,-1.0131153043655171e-12,-6.0145927682775384e-12,3.0239212204353126e-15,4.700438272411801e-14,0.5500000000004558,4.0823180206968064e-14,-9.507606475101002e-15
0.010000000000000002,p2_m0,0.0,-2.0426351265711935e-12,-1.2315650832483983e-11,6.004662132544561e-15,4.700438272411801e-14,0.5500000000004558,4.0823180206968064e-14,-9.507606475101002e-15
0.010000000000000002,p2_m1,0.0,4.031295522734358e-11,4.8682353592788286e-11,-1.2788702261885054e-13,4.700438272411801e-14,0.5500000000004558,4.0823180206968064e-14,-9.507606475101002e-15
0.010000000000000002,p2_m2,0.0,-1.0512546181765779e-12,-6.244793182563765e-12,3.1374244451084404e-15,4.700438272411801e-14,0.5500000000004558,4.0823180206968064e-14,-9.507606475101002e-15
0.010000000000000002,p2_m3,0.0,-2.104637834735178e-10,-2.0702491204671592e-10,7.150948115760746e-13,4.700438272411801e-14,0.5500000000004558,4.0823180206968064e-14,-9.507606475101002e-15
0.010000000000000002,p3_m0,0.0,2.119415143737403e-10,2.2276267142018483e-10,-7.221236949483076e-13,4.700438272411801e-14,0.5500000000004558,4.0823180206968064e-14,-9.507606475101002e-15
0.010000000000000002,p3_m1,0.0,3.941849348733326e-11,3.8999535961759005e-11,-1.235929375466567e-13,4.700438272411801e-14,0.5500000000004558,4.0823180206968064e-14,-9.507606475101002e-15
0.010000000000000002,p3_m2,0.0,1.4776305886860619e-12,9.141726153849566e-12,-4.2525994069965855e-15,4.700438272411801e-14,0.5500000000004558,4.0823180206968064e-14,-9.507606475101002e-15
0.010000000000000002,p3_m3,0.0,-2.1009608757198746e-12,-1.280424577476681e-11,6.103185302591129e-15,4.700438272411801e-14,0.5500000000004558,4.0823180206968064e-14,-9.507606475101002e-15
0.02000000000000001,p0_m0,-2.6650626150370726e-11,2.7292458377581138e-11,2.9396398648629003e-11,-1.5362770245304768e-13,8.175902245968863e-14,0.5500000000007738,6.073952649500446e-14,-1.2702684786655586e-14
0.02000000000000001,p0_m1,-1.7277268504756194e-10,4.669006998415811e-11,5.302485395208793e-12,-7.328886362951094e-13,8.175902245968863e-14,0.5500000000007738,6.073952649500446e-14,-1.2702684786655586e-14
0.02000000000000001,p0_m2,0.0,-7.308602510766364e-13,-3.880841786818578e-12,3.087432176644234e-15,8.175902245968863e-14,0.5500000000007738,6.073952649500446e-14,-1.2702684786655586e-14
0.02000000000000001,p0_m3,0.0,1.9974754168651342e-13,1.0144000084366637e-12,-8.824310264947355e-16,8.175902245968863e-14,0.5500000000007738,6.073952649500446e-14,-1.2702684786655586e-14
0.02000000000000001,p1_m0,-2.6481594694871546e-11,2.7477573636690517e-11,3.180588437068365e-11,-1.5402630063959412e-13,8.175902245968863e-14,0.5500000000007738,6.073952649500446e-14,-1.2702684786655586e-14
0.02000000000000001,p1_m1,0.0,-1.0163775131677948e-12,-5.4361483092790866e-12,4.275046874881494e-15,8.175902245968863e-14,0.5500000000007738,6.073952649500446e-14,-1.2702684786655586e-14
0.02000000000000001,p1_m2,1.730713072856105e-10,-4.62116363491285e-11,1.0359216262576159e-12,7.315225941975825e-13,8.175902245968863e-14,0.5500000000007738,6.073952649500446e-14,-1.2702684786655586e-14
0.02000000000000001,p1_m3,0.0,-4.829277569563316e-13,-2.577255131530618e-12,2.0609651987759866e-15,8.175902245968863e-14,0.5500000000007738,6.073952649500446e-14,-1.2702684786655586e-14
0.02000000000000001,p2_m0,0.0,-1.2935985757418025e-12,-6.959208209700303e-12,5.411065684023565e-15,8.175902245968863e-14,0.5500000000007738,6.073952649500446e-14,-1.2702684786655586e-14
0.02000000000000001,p2_m1,-2.741690208196701e-11,4.1698853658506193e-11,4.112136298140001e-11,-2.2590476116447156e-13,8.175902245968863e-14,0.5500000000007738,6.073952649500446e-14,-1.2702684786655586e-14
0.02000000000000001,p2_m2,0.0,-6.5850128802357e-13,-3.5338531267914423e-12,2.777742507340061e-15,8.175902245968863e-14,0.5500000000007738,6.073952649500446e-14,-1.2702684786655586e-14
0.02000000000000001,p2_m3,1.7307694166746046e-10,-4.613786652845074e-11,2.35528835323968e-12,7.31166299880145e-13,8.175902245968863e-14,0.5500000000007738,6.073952649500446e-14,-1.2702684786655586e-14
0.02000000000000001,p3_m0,-1.7277268504756194e-10,4.690923020186977e-11,8.788013539096217e-12,-7.339843459013484e-13,8.175902245968863e-14,0.5500000000007738,6.073952649500446e-14,-1.2702684786655586e-14
0.02000000000000001,p3_m1,-2.7597202301166135e-11,4.1149473699812816e-11,3.297686920755718e-11,-2.237645388574743e-13,8.175902245968863e-14,0.5500000000007738,6.073952649500446e-14,-1.2702684786655586e-14
0.02000000000000001,p3_m2,0.0,1.4375890204367685e-12,7.778613919651179e-12,-5.939817839161401e-15,8.175902245968863e-14,0.5500000000007738,6.073952649500446e-14,-1.2702684786655586e-14
0.02000000000000001,p3_m3,0.0,-1.612731374213893e-12,-8.704191589714598e-12,6.685688609521136e-15,8.175902245968863e-14,0.5500000000007738,6.073952649500446e-14,-1.2702684786655586e-14
0.03000000000000002,p0_m0,-5.139627612393838e-11,0.7558443126836589,0.8268312451295338,-0.0020313596775076792,1.0749006636711654e-05,0.5554314073835528,-0.00011941461712678224,2.7161558816547933e-05
0.03000000000000002,p0_m1,-2.7053576046043304e-10,-0.372826786610429,-0.4270670651475249,0.000983546190778204,1.0749006636711654e-05,0.5554314073835528,-0.00011941461712678224,2.7161558816547933e-05
0.03000000000000002,p0_m2,0.0,0.004085383664209007,0.003840143586475486,-1.297515730575943e-05,1.0749006636711654e-05,0.5554314073835528,-0.00011941461712678224,2.7161558816547933e-05
0.03000000000000002,p0_m3,0.0,-0.005727791781013043,-0.0053649360290181965,1.8229884227526483e-05,1.0749006636711654e-05,0.5554314073835528,-0.00011941461712678224,2.7161558816547933e-05
0.03000000000000002,p1_m0,-5.14501219406327e-11,0.7565294200940358,0.8275147441428607,-0.0020342442727281666,1.0749006636711654e-05,0.5554314073835528,-0.00011941461712678224,2.7161558816547933e-05
0.03000000000000002,p1_m1,0.0,0.0022364613750343507,0.002273046489745745,-6.818521116120141e-06,1.0749006636711654e-05,0.5554314073835528,-0.00011941461712678224,2.7161558816547933e-05
0.03000000000000002,p1_m2,2.7045565786920633e-10,0.373661309002222,0.4285016878558323,-0.0009848479670799175,1.0749006636711654e-05,0.5554314073835528,-0.00011941461712678224,2.7161558816547933e-05
0.03000000000000002,p1_m3,0.0,0.0025975393461158862,0.002671152313247192,-7.827082879173478e-06,1.0749006636711654e-05,0.5554314073835528,-0.00011941461712678224,2.7161558816547933e-05
0.03000000000000002,p2_m0,0.0,-0.003676258950920757,-0.0034497462926823172,1.164940510492488e-05,1.0749006636711654e-05,0.5554314073835528,-0.00011941461712678224,2.7161558816547933e-05
0.03000000000000002,p2_m1,-6.877276526040532e-11,0.759573246380973,0.8301749625066507,-0.002045180039361084,1.0749006636711654e-05,0.5554314073835528,-0.00011941461712678224,2.7161558816547933e-05
0.03000000000000002,p2_m2,0.0,-0.0008735777967457554,-0.0006707615528851906,3.034839842588377e-06,1.0749006636711654e-05,0.5554314073835528,-0.00011941461712678224,2.7161558816547933e-05
0.03000000000000002,p2_m3,2.7046137551778315e-10,0.3728494660073395,0.42713260467870146,-0.0009835531578025502,1.0749006636711654e-05,0.5554314073835528,-0.00011941461712678224,2.7161558816547933e-05
0.03000000000000002,p3_m0,-2.705244916967331e-10,-0.373742806934453,-0.4285822765619105,0.0009850707803220678,1.0749006636711654e-05,0.5554314073835528,-0.00011941461712678224,2.7161558816547933e-05
0.03000000000000002,p3_m1,-6.874162350456459e-11,0.7594706737953838,0.8300706504361917,-0.0020447524732915673,1.0749006636711654e-05,0.5554314073835528,-0.00011941461712678224,2.7161558816547933e-05
0.03000000000000002,p3_m2,0.0,-0.00214077924736639,-0.0019012324031263477,6.995006217806554e-06,1.0749006636711654e-05,0.5554314073835528,-0.00011941461712678224,2.7161558816547933e-05
0.03000000000000002,p3_m3,0.0,-3.3739650143616062,-3.694141706206009,0.009655891713541042,1.0749006636711654e-05,0.5554314073835528,-0.00011941461712678224,2.7161558816547933e-05
0.04000000000000003,p0_m0,-0.37929425385935456,1.0542305377789374,1.1045646916743355,-0.004239644677682608,1.4557818456759434e-05,0.5660873729860594,-0.00045081570265184147,0.00014536906007093652
0.04000000000000003,p0_m1,0.1944850700079135,-0.579377225162957,-0.596715988101432,0.0022972110196132103,1.4557818456759434e-05,0.5660873729860594,-0.00045081570265184147,0.00014536906007093652
0.04000000000000003,p0_m2,0.0,0.0024641026739510466,0.002081736132159855,-7.741795991720817e-06,1.4557818456759434e-05,0.5660873729860594,-0.00045081570265184147,0.00014536906007093652
0.04000000000000003,p0_m3,0.0,-0.0032664266163490055,-0.002702122983196354,1.0336961140537046e-05,1.4557818456759434e-05,0.5660873729860594,-0.00045081570265184147,0.00014536906007093652
0.04000000000000003,p1_m0,-0.37859212452631685,1.0543439973991882,1.1046695867130223,-0.004237828920288389,1.4557818456759434e-05,0.5660873729860594,-0.00045081570265184147,0.00014536906007093652
0.04000000000000003,p1_m1,0.0,0.0021751354019150762,0.0021016498500116554,-6.596571245511948e-06,1.4557818456759434e-05,0.5660873729860594,-0.00045081570265184147,0.00014536906007093652
0.04000000000000003,p1_m2,-0.1936347856723292,0.5795379005950906,0.5967912154668137,-0.0022952013525493254,1.4557818456759434e-05,0.5660873729860594,-0.00045081570265184147,0.00014536906007093652
0.04000000000000003,p1_m3,0.0,0.0028747705605822833,0.0028513527663599435,-8.636901790539957e-06,1.4557818456759434e-05,0.5660873729860594,-0.00045081570265184147,0.00014536906007093652
0.04000000000000003,p2_m0,0.0,-0.00227189911186439,-0.0019435591580579587,7.139605100786859e-06,1.4557818456759434e-05,0.5660873729860594,-0.00045081570265184147,0.00014536906007093652
0.04000000000000003,p2_m1,-0.38242608607214507,1.0541639343073976,1.10442453380161,-0.004249100370317152,1.4557818456759434e-05,0.5660873729860594,-0.00045081570265184147,0.00014536906007093652
0.04000000000000003,p2_m2,0.0,0.00027986612888256893,0.0004921356981136194,-6.315388182310047e-07,1.4557818456759434e-05,0.5660873729860594,-0.00045081570265184147,0.00014536906007093652
0.04000000000000003,p2_m3,-0.19446638628420795,0.5793930945884974,0.596727769642288,-0.002297207432939617,1.4557818456759434e-05,0.5660873729860594,-0.00045081570265184147,0.00014536906007093652
0.04000000000000003,p3_m0,0.19360094319502377,-0.5795505252609563,-0.5967917909712934,0.0022951441477625225,1.4557818456759434e-05,0.5660873729860594,-0.00045081570265184147,0.00014536906007093652
0.04000000000000003,p3_m1,-0.38253267018314013,1.0541418337839552,1.104399492872474,-0.004249362128088599,1.4557818456759434e-05,0.5660873729860594,-0.00045081570265184147,0.00014536906007093652
0.04000000000000003,p3_m2,0.0,-0.0006307058051141277,-0.000315132670409811,2.1942208806564057e-06,1.4557818456759434e-05,0.5660873729860594,-0.00045081570265184147,0.00014536906007093652
0.04000000000000003,p3_m3,0.0,-3.194852827948157,-3.1320346387684306,0.009859538076235847,1.4557818456759434e-05,0.5660873729860594,-0.00045081570265184147,0.00014536906007093652
0.05000000000000004,p0_m0,-1.301687851244408,-0.013515197390377279,-0.12489354856820159,-0.004201410978246674,1.8632190687800684e-05,0.5710103773313022,-0.0008495472906648647,0.00036120486775743053
0.05000000000000004,p0_m1,0.6967922225904444,-0.0034807483238087425,0.057543869574228385,0.002284639961190079,1.8632190687800684e-05,0.5710103773313022,-0.0008495472906648647,0.00036120486775743053
0.05000000000000004,p0_m2,0.0,0.0015760921061848134,0.0014695757847627475,-4.643728042014413e-06,1.8632190687800684e-05,0.5710103773313022,-0.0008495472906648647,0.00036120486775743053
0.05000000000000004,p0_m3,0.0,0.0006350504727569932,0.0008952884125338876,-2.4321056119737687e-06,1.8632190687800684e-05,0.5710103773313022,-0.0008495472906648647,0.00036120486775743053
0.05000000000000004,p1_m0,-1.3011090409022414,-0.013411373765890078,-0.12475316009777504,-0.0041999222315336725,1.8632190687800684e-05,0.5710103773313022,-0.0008495472906648647,0.00036120486775743053
0.05000000000000004,p1_m1,0.0,0.005258451418336307,0.005189764498484173,-1.6534115721619446e-05,1.8632190687800684e-05,0.5710103773313022,-0.0008495472906648647,0.00036120486775743053
0.05000000000000004,p1_m2,-0.6965235319298057,0.0033762542071274215,-0.057566492599398694,-0.0022833101930916106,1.8632190687800684e-05,0.5710103773313022,-0.0008495472906648647,0.00036120486775743053
0.05000000000000004,p1_m3,0.0,0.006727447605975855,0.006514749805390404,-2.133466086693336e-05,1.8632190687800684e-05,0.5710103773313022,-0.0008495472906648647,0.00036120486775743053
0.05000000000000004,p2_m0,0.0,-0.0012278939773255997,-0.0010802411737510797,3.569327492762934e-06,1.8632190687800684e-05,0.5710103773313022,-0.0008495472906648647,0.00036120486775743053
0.05000000000000004,p2_m1,-1.305338146979402,-0.0163614925106962,-0.12787067963942156,-0.004203464457395244,1.8632190687800684e-05,0.5710103773313022,-0.0008495472906648647,0.00036120486775743053
0.05000000000000004,p2_m2,0.0,0.002930858905449734,0.0028572858333946257,-9.53924138462266e-06,1.8632190687800684e-05,0.5710103773313022,-0.0008495472906648647,0.00036120486775743053
0.05000000000000004,p2_m3,-0.6968034873864444,0.0034581202519546675,-0.057566233824943594,-0.0022846045157207655,1.8632190687800684e-05,0.5710103773313022,-0.0008495472906648647,0.00036120486775743053
0.05000000000000004,p3_m0,0.6965300770661907,-0.0033836933988419526,0.057550171765687344,0.002283353607756434,1.8632190687800684e-05,0.5710103773313022,-0.0008495472906648647,0.00036120486775743053
0.05000000000000004,p3_m1,-1.305422597882695,-0.01646278413115068,-0.12794377570689086,-0.004203326184011202,1.8632190687800684e-05,0.5710103773313022,-0.0008495472906648647,0.00036120486775743053
0.05000000000000004,p3_m2,0.0,0.004326150590211701,0.004429399056598147,-1.3892616127688723e-05,1.8632190687800684e-05,0.5710103773313022,-0.0008495472906648647,0.00036120486775743053
0.05000000000000004,p3_m3,0.0,0.009592925291250907,0.24001308864909626,-3.890701716686678e-05,1.8632190687800684e-05,0.5710103773313022,-0.0008495472906648647,0.00036120486775743053
0.060000000000000046,p0_m0,-1.7690757344646169,-1.030177342045836,-1.1293457017202015,-0.002427730082358728,1.8857371380005076e-05,0.5627661183803782,-0.0012009580792404538,0.0007222308612926863
0.060000000000000046,p0_m1,0.9597547939053577,0.5666619854840047,0.6122211916792378,0.0013009224166650925,1.8857371380005076e-05,0.5627661183803782,-0.0012009580792404538,0.0007222308612926863
